user,location,tweet,likes,RT,Source,ID,Date
jkransom,"Stamford, UK","RT @JoePajak: Latest estimates from excellent @Join_ZOE study
 
🦠348,032 new symptomatic UK cases of #COVID. Incidence rates calculated wit…",0,8,Twitter for Android,1507862419854479363,2022-03-26 23:29:50+00:00
CamiloGuezRodri,,RT @DelthiaRicks: 1 in 5 South Koreans have had Covid as the latest wave fueled by #Omicron subvariant—BA.2 —causes deaths to surge. Latest…,0,10,Twitter for iPhone,1507862391048089600,2022-03-26 23:29:43+00:00
neighbour_kx,"London, England UK ","RT @JoePajak: Latest estimates from excellent @Join_ZOE study
 
🦠348,032 new symptomatic UK cases of #COVID. Incidence rates calculated wit…",0,8,Twitter for Android,1507862081298649103,2022-03-26 23:28:29+00:00
j_em_bee,California,Omicron BA2 begins its assault on the United States https://t.co/fx9CI8I35D #covid19 #BA2 #omicron #MaskUp,0,0,Twitter Web App,1507859990836613129,2022-03-26 23:20:11+00:00
FDA_Track,"Washington, DC","RT @DonnaYoungDC: Was there ever any doubt they'd do this?

#Pharma / #biotech forever slogan: Americans -- they make us rich! 💲💉💲💉💲

#COVI…",0,1,Twitter for iPhone,1507859905377710092,2022-03-26 23:19:50+00:00
DonnaYoungDC,Washington,"Was there ever any doubt they'd do this?

#Pharma / #biotech forever slogan: Americans -- they make us rich! 💲💉💲💉💲… https://t.co/l4KNl3bNTE",0,1,Twitter Web App,1507859604692164613,2022-03-26 23:18:39+00:00
T773S,,RT @1Bvtr: “Mild” #Omicron #COVID = 12 days head cold and sore throat with exhaustion ending with long COVID #diarrhea. You don’t want “Mil…,0,1,Twitter Web App,1507859474219945988,2022-03-26 23:18:07+00:00
DblCoverage,West of the 5th Meridian ,"Gonna be at the office, afraid to sip from my water bottle. 🙄😷

I want to know how many ACH they will have the HVAC… https://t.co/QBrsYkRvJ7",0,0,Twitter for iPhone,1507859153120739328,2022-03-26 23:16:51+00:00
VippusaO,USA,NIH Director Dr. Collins agrees with my analysis that we could see 1 million people new cases daily because of the… https://t.co/I8FdJmUNFk,0,0,The Social Jukebox,1507859041783005201,2022-03-26 23:16:24+00:00
Cassign,Chicago Area,RT @catladyactivist: Like this tweet if you think there should be a class action lawsuit brought against the CDC over their guidance to ret…,0,21,Twitter for iPhone,1507857701614796803,2022-03-26 23:11:05+00:00
moo24652097,,"📢People who have been vaccinated in NZ.
#ChurArdern #ResignJacinda #nzpol #covid19nz #Omicron  #boosternz #wakeupnz… https://t.co/NXqxMeskKM",0,0,Twitter Web App,1507857524816760834,2022-03-26 23:10:23+00:00
moo24652097,,"📢People who have been vaccinated in NZ.
#ChurArdern #ResignJacinda #nzpol #covid19nz #Omicron  #boosternz #wakeupnz… https://t.co/b19thHGXn0",1,0,Twitter Web App,1507857448904032260,2022-03-26 23:10:05+00:00
cristo_monte,,RT @DelthiaRicks: 1 in 5 South Koreans have had Covid as the latest wave fueled by #Omicron subvariant—BA.2 —causes deaths to surge. Latest…,0,10,Twitter Web App,1507855381539790852,2022-03-26 23:01:52+00:00
v_madhu,"New Haven, CT","@Coollightofday Compelling stories that blend the line between poetry and prose in painting vivid mental imagery.

#Omicron begone!",0,0,Twitter Web App,1507854831599460352,2022-03-26 22:59:41+00:00
MisfitOutlaw,,"RT @TaNaishaJ: Sources:
https://t.co/GNs71J3XzX

https://t.co/kT03dlvHDe

@Harvard2H, predicted ALL of this, from #wuhan to #delta to #omic…",0,2,Twitter for Android,1507854457916334084,2022-03-26 22:58:12+00:00
cristo_monte,,"RT @CDCgov: Although rare, young children can be hospitalized for #COVID19. New @CDCMMWR found #Omicron COVID-19 hospitalization rates amon…",0,232,Twitter Web App,1507853886744403968,2022-03-26 22:55:55+00:00
janemccourt1,NI UK,RT @calirunnerdoc: My brother is mentally handicapped and lives in a group home.Was just told by his coordinator that #Omicron killed more…,0,29,Twitter for Android,1507853746373599243,2022-03-26 22:55:22+00:00
NOMOPAIN4ME,The World,"2nd vax being authorized for 50+ next week...I'm in..!
#CovidIsNotOver 
#Omicron 
#BA2Variant",1,0,Twitter for Android,1507853373428670466,2022-03-26 22:53:53+00:00
MuleTownMedia,"Charleston, SC | Atlanta, GA","Communication around #COVID19 health &amp; safety protocols is necessary for a successful #RTO process. Our flexible, c… https://t.co/6gGPV9hC8h",0,0,Twitter Web App,1507852898453008386,2022-03-26 22:52:00+00:00
johnburnshk,Hong Kong,"RT @AsiaGInstitute: The wave of #Omicron variant infections is forcing #China to adopt a more flexible, targeted strategy. But the months a…",0,10,Twitter for iPhone,1507852607741923328,2022-03-26 22:50:50+00:00
HartNathaniel,,RT @catladyactivist: Like this tweet if you think there should be a class action lawsuit brought against the CDC over their guidance to ret…,0,21,Twitter Web App,1507852476422234120,2022-03-26 22:50:19+00:00
Chris5anne,Faversham,"RT @JoePajak: Latest estimates from excellent @Join_ZOE study
 
🦠348,032 new symptomatic UK cases of #COVID. Incidence rates calculated wit…",0,8,Twitter Web App,1507851833980727297,2022-03-26 22:47:46+00:00
MzMistyRose,,RT @catladyactivist: Like this tweet if you think there should be a class action lawsuit brought against the CDC over their guidance to ret…,0,21,Twitter for Android,1507850108938948618,2022-03-26 22:40:55+00:00
Annalisa840917,,RT @catladyactivist: Like this tweet if you think there should be a class action lawsuit brought against the CDC over their guidance to ret…,0,21,Twitter for iPhone,1507849909239701505,2022-03-26 22:40:07+00:00
OccupyOneLove,💞Sorrow is the price of #Love💞,"RT @Laurie_Garrett: Between Feb27- March5, 14.7% of sequenced #COVID19 cases were #BA2 #Omicron in LA County, an ^ from 6.4% in the prior w…",0,63,Twitter Web App,1507849679970656264,2022-03-26 22:39:12+00:00
toddmacpherson,,#Hydroxychloroquine works as a #prophylactic. Always has. Even with #Omicron. #Ivermectin worked on all previous va… https://t.co/7k22tPqUYH,0,0,Twitter for iPhone,1507848712218890257,2022-03-26 22:35:22+00:00
bearbull11,"Attiki, Greece","Why is South Korea, the model country for optimized #coronavirus containment, facing the highest per capita death r… https://t.co/o2H7P7MNfQ",1,0,Twitter Web App,1507847335136661511,2022-03-26 22:29:53+00:00
jccordero28,"Toronto, ON Canada","RT @jkwan_md: FEB 28: #COVID19 in #Ontario
1315 cases, 3* deaths, 1605 resolved
12116 tests/day, 2629 pending, 8.9% pos
849 hospitalized🏥
2…",0,54,Twitter Web App,1507846485588684800,2022-03-26 22:26:31+00:00
AmeliaAber,Gweriniaeth Cymru,"RT @JoePajak: Latest estimates from excellent @Join_ZOE study
 
🦠348,032 new symptomatic UK cases of #COVID. Incidence rates calculated wit…",0,8,Twitter for iPad,1507846389497307139,2022-03-26 22:26:08+00:00
rmpbklyn,ukraine,"RT @ToddBohannon: “The ⁦@WHO⁩ reported that the highly contagious #Omicron subvariant, #BA2, that is helping to drive another surge of coro…",0,1,Twitter Web App,1507845867709120514,2022-03-26 22:24:03+00:00
PatrickAndrews,Bristol,"RT @JoePajak: Latest estimates from excellent @Join_ZOE study
 
🦠348,032 new symptomatic UK cases of #COVID. Incidence rates calculated wit…",0,8,Twitter for iPad,1507845544328241160,2022-03-26 22:22:46+00:00
Harvard2H,"Maryland, USA","RT @TaNaishaJ: Sources:
https://t.co/GNs71J3XzX

https://t.co/kT03dlvHDe

@Harvard2H, predicted ALL of this, from #wuhan to #delta to #omic…",0,2,Twitter for iPhone,1507845414195765249,2022-03-26 22:22:15+00:00
MoundCityMed,"Saint Louis, Missouri",RT @TheWHN: Find others in your area who are careful about #Covid and want to chat or meet virtually or in person. CovidMeetups is a way fo…,0,6,Twitter for Android,1507845221127962624,2022-03-26 22:21:29+00:00
philrandal,"Hereford, England","RT @JoePajak: Latest estimates from excellent @Join_ZOE study
 
🦠348,032 new symptomatic UK cases of #COVID. Incidence rates calculated wit…",0,8,Twitter for Android,1507845004416409612,2022-03-26 22:20:38+00:00
doyoulikefish2,,"RT @JoePajak: Latest estimates from excellent @Join_ZOE study
 
🦠348,032 new symptomatic UK cases of #COVID. Incidence rates calculated wit…",0,8,Twitter for iPhone,1507844730985627653,2022-03-26 22:19:32+00:00
yuccaldo,Europe ,"RT @JoePajak: Latest estimates from excellent @Join_ZOE study
 
🦠348,032 new symptomatic UK cases of #COVID. Incidence rates calculated wit…",0,8,Twitter for Android,1507844494267494405,2022-03-26 22:18:36+00:00
TaNaishaJ,"Chicago, IL","Sources:
https://t.co/GNs71J3XzX

https://t.co/kT03dlvHDe

@Harvard2H, predicted ALL of this, from #wuhan to #delta… https://t.co/w4FO4NZHcS",4,2,Twitter for Android,1507843770326429701,2022-03-26 22:15:43+00:00
JoePajak,💙🏳️‍🌈🇪🇺🇬🇧🇵🇱🇮🇪🇺🇦,"Latest estimates from excellent @Join_ZOE study
 
🦠348,032 new symptomatic UK cases of #COVID. Incidence rates calc… https://t.co/aYuyXzppNe",17,8,Twitter Web App,1507843661408747524,2022-03-26 22:15:17+00:00
madplayersexual,,"RT @EvanBlake17: The pandemic is now all but ignored by the political establishment and the corporate media, as a potential new surge of th…",0,25,Twitter for Android,1507843512880058382,2022-03-26 22:14:42+00:00
GoodGravySMH,,"RT @DrPanMD: “amid #omicron , natural immunity is clearly rubbish.
Unvaccinated people who recover from an omicron #coronavirus variant inf…",0,19,Twitter for Android,1507843156863238156,2022-03-26 22:13:17+00:00
Syfx18637973,,"RT @TaNaishaJ: ""#Fauci said the #possibility of #another #variant “that would #surprise us similar to what we had with delta and then even…",0,1,Twitter Web App,1507843109769654278,2022-03-26 22:13:06+00:00
redhed67,Haunting the GOP's nightmares.,RT @MonroeG5: @NickAdamsinUSA Having yet another massive #Omicron super spreader. https://t.co/ykEKWOno6B,0,3,Twitter for Android,1507843000084451332,2022-03-26 22:12:40+00:00
LifeSciKES,Way up north,RT @catladyactivist: Like this tweet if you think there should be a class action lawsuit brought against the CDC over their guidance to ret…,0,21,Twitter Web App,1507842663885811712,2022-03-26 22:11:20+00:00
EmpressNorton,California,"RT @Laurie_Garrett: With emergence of #Omicron, home-testing for #COVID19 surged in the US, largely, ""among persons who id'ed as White, adu…",0,54,Twitter for Android,1507842647280349185,2022-03-26 22:11:16+00:00
TaNaishaJ,"Chicago, IL","""#Fauci said the #possibility of #another #variant “that would #surprise us similar to what we had with delta and t… https://t.co/CP9z7Nc3US",1,1,Twitter for Android,1507842569476128771,2022-03-26 22:10:57+00:00
RajlabN,"Jonesboro, AR","#COVID19 #VariantDashboard - #Arkansas 

Sequence Count -ALL: 16,047 (+0)
Sequence Count - #Omicron: 3997 (+0)

% o… https://t.co/x4vHWx1TJb",4,1,Twitter Web App,1507841801033592834,2022-03-26 22:07:54+00:00
Grignwan,IgguI WakaL,"RT @ThePromisedImam: A Video of an audio statement in Arabic titled:
A Challenge From Allaah's Caliph; Al-Mahdi
Imam Nasser Mohammed Al-Yam…",0,212,Twitter Web App,1507841754376159236,2022-03-26 22:07:43+00:00
EmpressNorton,California,"RT @Laurie_Garrett: Between Feb27- March5, 14.7% of sequenced #COVID19 cases were #BA2 #Omicron in LA County, an ^ from 6.4% in the prior w…",0,63,Twitter for Android,1507841563002818561,2022-03-26 22:06:57+00:00
LivingSamsara,,"Is @CDCDirector being held hostage?
https://t.co/GoHNWR9KxN

#CovidIsNotOver #BA2Variant #Omicron",0,0,Twitter Web App,1507841484376227846,2022-03-26 22:06:38+00:00
SerenaShimAward,Misery (MO),RT @DrEricDing: 6) Also fascinating is that in the 🏴󠁧󠁢󠁥󠁮󠁧󠁿 #Omicron wave—hospitalization rate trailed cases and was about 2% of cases at th…,0,100,Twitter Web App,1507841312992673801,2022-03-26 22:05:58+00:00
JeanSanPach,"Prescott, Arizona",RT @MonroeG5: @NickAdamsinUSA Having yet another massive #Omicron super spreader. https://t.co/ykEKWOno6B,0,3,Twitter Web App,1507841214803972096,2022-03-26 22:05:34+00:00
MadPhysiologist,DC metro explant,"RT @DrPanMD: “amid #omicron , natural immunity is clearly rubbish.
Unvaccinated people who recover from an omicron #coronavirus variant inf…",0,19,Twitter for iPhone,1507841068322152459,2022-03-26 22:04:59+00:00
BookerKeryn,,"RT @LyndaFrench19: This is what many don’t understand. 
Many Australians are in permanent #lockdown, not because they want to, but to save…",0,14,Twitter for iPhone,1507840847869448192,2022-03-26 22:04:07+00:00
SIGILUX,Plague Swamp,"RT @etkelley419: #Alpha, #Beta, #Gamma, #Delta, #Omicron — herd immunity was a wish not a plan 

#Reinfection with new strains may not prov…",0,30,Twitter for iPhone,1507840606835511306,2022-03-26 22:03:09+00:00
SIGILUX,Plague Swamp,"RT @etkelley419: 46) It takes being w someone 10-15 mins to inhale enough #virus to get sick with #COVID19 

A: #Omicron can infect you in…",0,37,Twitter for iPhone,1507840386588450821,2022-03-26 22:02:17+00:00
MonroeG5,SEATTLE WA,@NickAdamsinUSA Having yet another massive #Omicron super spreader. https://t.co/ykEKWOno6B,2,3,Twitter for Android,1507840359006572545,2022-03-26 22:02:10+00:00
BarruIker,,"RT @ShamezLadhani: 6/ To conclude, this preprint does not assess intrinsic severity of #Omicron BA.2 in kids. If anything, hospitalisation…",0,6,Twitter for iPhone,1507839854297731073,2022-03-26 22:00:10+00:00
MillenialsBlg,"New York, NY",#Student #film explores how nations might better prepare for future pandemics. https://t.co/O0qhB6QuTf #COVID19… https://t.co/gocw2k82Yk,0,0,Hootsuite Inc.,1507839848736079873,2022-03-26 22:00:08+00:00
BarruIker,,RT @ShamezLadhani: PS. The Hong Kong experience with #Omicron BA.2 is not applicable to the rest of the world because Hong Kong never exper…,0,6,Twitter for iPhone,1507839715625611268,2022-03-26 21:59:37+00:00
Twostones00,,"RT @TomthunkitsMind: DON’T SURRENDER TO #OMICRON
Just bc you believe it’s milder &amp; inevitable that you will get it, DON’T GIVE UP fighting…",0,3,Twitter for iPad,1507839441292910597,2022-03-26 21:58:31+00:00
susanbeeha,"Columbus, OH","RT @DrPanMD: “amid #omicron , natural immunity is clearly rubbish.
Unvaccinated people who recover from an omicron #coronavirus variant inf…",0,19,Twitter for iPhone,1507839404244705283,2022-03-26 21:58:22+00:00
vjvickij2,Vancouver BC,"RT @TomthunkitsMind: DON’T SURRENDER TO #OMICRON
Just bc you believe it’s milder &amp; inevitable that you will get it, DON’T GIVE UP fighting…",0,3,Twitter for Android,1507839013540925444,2022-03-26 21:56:49+00:00
TomthunkitsMind,In Your Mind Now,"DON’T SURRENDER TO #OMICRON
Just bc you believe it’s milder &amp; inevitable that you will get it, DON’T GIVE UP fighti… https://t.co/7kpQb0ginc",5,3,The Social Jukebox,1507838887967825928,2022-03-26 21:56:19+00:00
SIGILUX,Plague Swamp,"RT @etkelley419: Globally, 1 M vaccinated people have died from COVID, mostly in past 3 mos &amp; very few w 2 shots +            booster 
#Omi…",0,14,Twitter for iPhone,1507838337490604036,2022-03-26 21:54:08+00:00
TomthunkitsMind,In Your Mind Now,"WHAT HE SAID…
I’ll give it to you straight, as I promised that I always would: We’re going to see COVID cases conti… https://t.co/3o93XE1WTt",2,0,The Social Jukebox,1507837910426562564,2022-03-26 21:52:26+00:00
SIGILUX,Plague Swamp,"RT @etkelley419: Current #Omicron-speciﬁc vaccines, being tested now, performing WORSE against #COVID19  than original vaccines

Even if we…",0,11,Twitter for iPhone,1507837697947230212,2022-03-26 21:51:36+00:00
melaniesdavis,Pacific NW ,"RT @DrPanMD: “#Omicron triggered neutralizing antibodies are poorly cross-reactive for VOCs

Vaccination prior to infection increases antib…",0,4,Twitter for Android,1507837649796575234,2022-03-26 21:51:24+00:00
SIGILUX,Plague Swamp,"RT @etkelley419: 30) If you are vaccinated with 2 shots, you are mostly protected
Having 1 shot is useful, though not ideal

A: Protection…",0,17,Twitter for iPhone,1507837566346743808,2022-03-26 21:51:04+00:00
JBTMPRSA,USA,RT @be_in_Bangkok: CAAT tells Thai Airways to fly Boeing 737-800 with extra caution. #Thailand #Bangkok #Phuket #Samui #Pattaya #Ayutthaya…,0,2,Twitter for iPad,1507837340936556547,2022-03-26 21:50:10+00:00
JBTMPRSA,USA,RT @be_in_Bangkok: Old Bangkok lights path out of pandemic with eye-popping 'Awakening' street illuminations. #Thailand #Bangkok #Phuket #S…,0,2,Twitter for iPad,1507837171201363979,2022-03-26 21:49:30+00:00
eliowa,CID/SIN,"RT @DrPanMD: “#Omicron triggered neutralizing antibodies are poorly cross-reactive for VOCs

Vaccination prior to infection increases antib…",0,4,Twitter Web App,1507837144848609292,2022-03-26 21:49:24+00:00
eliowa,CID/SIN,"RT @DrPanMD: “amid #omicron , natural immunity is clearly rubbish.
Unvaccinated people who recover from an omicron #coronavirus variant inf…",0,19,Twitter Web App,1507837117153619971,2022-03-26 21:49:17+00:00
SIGILUX,Plague Swamp,"RT @etkelley419: 25) Entire world needs  to be #vaccinated as quickly as possible, but it is going to take some time to do it

A) Complacen…",0,22,Twitter for iPhone,1507836550024990725,2022-03-26 21:47:02+00:00
VeritasEver, Living on Aniwan land,"RT @DrPanMD: “#Omicron triggered neutralizing antibodies are poorly cross-reactive for VOCs

Vaccination prior to infection increases antib…",0,4,Twitter Web App,1507836256201605120,2022-03-26 21:45:52+00:00
SIGILUX,Plague Swamp,"RT @etkelley419: 22) When someone in your family gets #COVID19 , inevitable that you will get COVID too

A) Not the case! 
In families usin…",0,16,Twitter for iPhone,1507836214740615170,2022-03-26 21:45:42+00:00
DrPanMD,"Sacramento, CA","RT @DrPanMD: “#Omicron triggered neutralizing antibodies are poorly cross-reactive for VOCs

Vaccination prior to infection increases antib…",0,4,Twitter for iPhone,1507836014361866242,2022-03-26 21:44:54+00:00
SIGILUX,Plague Swamp,"RT @etkelley419: 18) If you are healthy adult under 60 or so, #Omicron was never really big threat to you

A: #Omicron killing more people…",0,50,Twitter for iPhone,1507835625550008327,2022-03-26 21:43:22+00:00
SIGILUX,Plague Swamp,"RT @etkelley419: Older variants can also combine w #Omicron
Currently most Omicron deaths are  among #unvaccinated
New #BA2variant even mor…",0,9,Twitter for iPhone,1507835331369910278,2022-03-26 21:42:11+00:00
SIGILUX,Plague Swamp,"RT @etkelley419: 15) #Omicron replaced previous #COVIDvariants like  
#Delta, 
#Beta &amp; 
#Gamma 
#OldVariants are no longer threats.

A) Old…",0,16,Twitter for iPhone,1507835271353614339,2022-03-26 21:41:57+00:00
trix_1978,"The Netherlands,  Haarlem","RT @etkelley419: 1) #COVID19  now under control and no longer emergency in #US,  #Europe 

A: #pandemic not “under control” 
Cases up globa…",0,163,Twitter for Android,1507835205893120011,2022-03-26 21:41:41+00:00
jhengstler,,"Think about this: With #Omicron #BA2 , #COVID19 is now officially about as contagious as MEASLES -- ""The most conta… https://t.co/OGOKP3oCGW",1,0,Twitter Web App,1507834994315522052,2022-03-26 21:40:51+00:00
SIGILUX,Plague Swamp,"RT @etkelley419: 13) #Omicron’s effects are quite mild &amp; if you get it - no big deal, especially if you are vaccinated

A: “Mild” variant w…",0,38,Twitter for iPhone,1507834920693125130,2022-03-26 21:40:33+00:00
SIGILUX,Plague Swamp,RT @etkelley419: A: Concern about #LongCOVID should be front &amp; center - especially in children &amp; young adults. Long COVID is like tsunami w…,0,120,Twitter for iPhone,1507834613569363969,2022-03-26 21:39:20+00:00
paschamo,"Leusden, Netherlands","RT @CristinaDragani: In adolescents, a single dose of #vaccine provided no protection against #Omicron, the currently prevalent variant.
Af…",0,8,Twitter Web App,1507834539867000837,2022-03-26 21:39:03+00:00
watergatesummer,nyc,"RT @LEAD_Coalition: I wear two masks in public (and am triple vaccinated) because I believe in humility, #kindness, community... and #scien…",0,273,Twitter for Android,1507834417640878087,2022-03-26 21:38:34+00:00
6WxVjkfC4Ea8TEC,大阪 ,"RT @bluesanctuary1: Yeah 🖕
#Deltacron #Omicron &amp; co #FuckYou 
Live the life and don't let this shit to destroy your mind..
 #NeverEnding ht…",0,257,Twitter for iPhone,1507834297021255680,2022-03-26 21:38:05+00:00
RockinR48302003,,"RT @DrVenkySoundar: 7) Let us learn some biology on Norovirus (#stomachbug) &amp; SARS-CoV-2 (#COVID #Omicron). The cell entry ""receptor"" for N…",0,5,Twitter for Android,1507834182654955521,2022-03-26 21:37:38+00:00
wtoghkmsmr,,"RT @Laurie_Garrett: Between Feb27- March5, 14.7% of sequenced #COVID19 cases were #BA2 #Omicron in LA County, an ^ from 6.4% in the prior w…",0,63,Twitter for Android,1507834162215940097,2022-03-26 21:37:33+00:00
ChristineLoriol,"Zürich, Schweiz",RT @etkelley419: A: Concern about #LongCOVID should be front &amp; center - especially in children &amp; young adults. Long COVID is like tsunami w…,0,120,Twitter for iPhone,1507833736112521219,2022-03-26 21:35:51+00:00
mellenedington,,"RT @RajlabN: Tracking BA.2 + S:I1221T (BA.2.2*) over time (by country, by division) | 3/26/22 update

Hotspots:  #HongKong  and #England, #…",0,6,Twitter for Android,1507833635717611522,2022-03-26 21:35:27+00:00
SIGILUX,Plague Swamp,"RT @etkelley419: No scientiﬁc reason for the next variant to be weaker simply because #Omicron is less lethal. 
Like hurricanes, the streng…",0,98,Twitter for iPhone,1507833550036422663,2022-03-26 21:35:07+00:00
ToddBohannon,Occupied Duwamish Territory,"“Globally, #BA2 made up about 86% of cases reported to the ⁦@WHO between Feb. 16 &amp; March 17, the agency said in a r… https://t.co/illCGsTcok",0,0,Twitter for iPhone,1507833463642083334,2022-03-26 21:34:46+00:00
ToddBohannon,Occupied Duwamish Territory,"“The ⁦@WHO⁩ reported that the highly contagious #Omicron subvariant, #BA2, that is helping to drive another surge o… https://t.co/XymkBUpbF8",1,1,Twitter for iPhone,1507833071340457984,2022-03-26 21:33:13+00:00
